,device_brand,5g,internal_memory,ram,battery,price
237,10,0,32.0,2.0,3020.0,25110
238,10,0,32.0,3.0,5100.0,28086
239,10,0,32.0,3.0,5100.0,26598
240,11,0,16.0,1.0,5680.0,30318
241,11,0,32.0,3.0,3850.0,29884
242,11,0,64.0,4.0,3075.0,30132
243,11,0,32.0,3.0,3300.0,27156
244,11,0,128.0,6.0,3930.0,28706
245,11,0,64.0,4.0,3850.0,31248
246,11,1,128.0,6.0,4000.0,30132
247,11,1,64.0,6.0,4000.0,30814
248,11,0,128.0,4.0,4000.0,31310
249,11,0,128.0,4.0,4000.0,30876
250,11,0,16.0,2.0,5100.0,26102
251,11,1,128.0,8.0,4000.0,30442
252,11,0,64.0,4.0,7250.0,31558
253,11,1,256.0,8.0,4200.0,34038
254,11,0,64.0,4.0,4000.0,27032
255,11,1,128.0,6.0,7250.0,33170
256,11,0,64.0,4.0,4000.0,28830
257,11,0,128.0,6.0,4000.0,31434
258,11,0,128.0,8.0,4200.0,30938
259,11,0,128.0,6.0,7250.0,30814
260,11,0,64.0,6.0,4000.0,31186
261,11,0,64.0,6.0,4000.0,30628
262,11,0,64.0,4.0,4000.0,27280
263,11,1,512.0,12.0,4500.0,37138
264,11,1,128.0,6.0,4200.0,34286
265,11,0,128.0,6.0,4200.0,33108
266,11,0,128.0,6.0,4000.0,32302
267,11,0,128.0,4.0,4000.0,30318
268,11,0,64.0,4.0,7500.0,31124
269,11,0,128.0,6.0,6100.0,30628
270,11,0,64.0,4.0,6100.0,31062
271,11,0,128.0,8.0,3500.0,33294
272,11,0,128.0,8.0,3500.0,33232
273,11,0,128.0,6.0,4000.0,32116
274,11,0,64.0,4.0,4000.0,29946
275,11,0,64.0,4.0,4000.0,30132
276,11,0,16.0,4.0,1700.0,24490
277,11,0,8.0,1.0,4100.0,26846
278,11,0,32.0,2.0,6000.0,27280
279,11,0,64.0,4.0,5000.0,27838
280,11,0,32.0,2.0,5000.0,27094
281,11,0,32.0,3.0,4000.0,27342
282,11,0,32.0,2.0,4000.0,27404
283,11,0,32.0,2.0,3200.0,24242
284,11,0,8.0,0.5,3000.0,21700
285,11,0,32.0,3.0,7000.0,29016
286,11,0,64.0,4.0,7000.0,31310
287,11,0,16.0,2.0,4000.0,25668
288,11,0,16.0,2.0,5100.0,27962
289,11,0,16.0,2.0,5000.0,27218
290,11,0,32.0,1.0,3590.0,23560
291,11,0,64.0,6.0,4000.0,27528
292,11,1,128.0,6.0,4000.0,33108
293,11,0,64.0,4.0,4050.0,28148
294,11,0,16.0,2.0,8400.0,30132
295,11,0,64.0,4.0,4000.0,29326
296,11,0,64.0,3.0,4000.0,29264
297,11,0,8.0,1.0,1470.0,23250
298,11,1,128.0,8.0,5000.0,33542
299,11,1,128.0,8.0,5000.0,28706
300,11,0,32.0,3.0,4000.0,26226
301,11,0,32.0,3.0,3450.0,26722
302,11,0,32.0,4.0,8200.0,31124
303,11,1,256.0,8.0,4000.0,35836
304,11,0,64.0,4.0,4000.0,30690
305,11,0,16.0,2.0,3000.0,27032
306,11,0,16.0,1.0,3000.0,25048
307,11,0,32.0,2.0,3500.0,27218
308,11,0,32.0,3.0,4000.0,29140
309,11,0,64.0,4.0,4050.0,28148
310,11,0,32.0,3.0,4000.0,27776
311,11,0,32.0,3.0,4000.0,25420
312,11,0,32.0,3.0,3500.0,25854
313,11,0,64.0,4.0,3300.0,30876
314,11,0,16.0,2.0,4500.0,28086
315,11,0,4.0,0.5,1540.0,19406
316,11,1,128.0,8.0,4500.0,31930
317,11,0,128.0,6.0,4500.0,29388
318,11,0,32.0,2.0,4000.0,26722
319,11,0,128.0,6.0,3600.0,30194
320,11,0,64.0,6.0,4000.0,29760
321,11,0,128.0,6.0,3600.0,32302
322,11,0,0.5,0.25,1500.0,19282
323,11,0,0.5,0.25,1500.0,9734
324,11,0,0.2,0.25,2000.0,21080
325,11,0,16.0,4.0,2000.0,20460
326,11,0,16.0,4.0,2000.0,17670
327,7,0,128.0,6.0,5000.0,31186
328,7,1,256.0,12.0,5000.0,34906
329,9,0,64.0,3.0,4000.0,25792
330,9,0,16.0,2.0,3000.0,22878
331,9,0,16.0,2.0,3000.0,24676
332,9,0,0.06,0.03,1020.0,15562
333,9,0,0.1,0.03,1020.0,15872
334,9,1,64.0,6.0,4500.0,28520
336,9,0,0.1,0.03,1200.0,17236
337,11,1,128.0,8.0,4300.0,33976
338,11,1,128.0,8.0,4300.0,32426
339,11,1,256.0,12.0,4085.0,31434
340,11,1,128.0,6.0,4000.0,33108
341,8,1,128.0,8.0,4000.0,32612
342,8,1,128.0,8.0,4000.0,31248
343,8,1,128.0,6.0,4000.0,31744
344,8,1,128.0,8.0,4000.0,31558
345,8,0,64.0,3.0,4230.0,27962
346,8,1,128.0,8.0,4025.0,32860
347,8,1,128.0,8.0,4025.0,30380
348,8,0,128.0,4.0,4230.0,27962
349,8,0,128.0,6.0,3600.0,31186
350,8,0,128.0,4.0,4035.0,31558
351,8,0,128.0,6.0,4020.0,31186
352,8,1,256.0,8.0,4065.0,34658
353,8,0,32.0,2.0,4000.0,24924
354,8,0,32.0,3.0,4230.0,26474
355,8,0,8.0,1.0,2000.0,25358
356,11,1,128.0,6.0,4000.0,29140
357,1,0,64.0,4.0,4300.0,29698
358,1,0,128.0,4.0,5000.0,30566
359,1,0,32.0,3.0,5000.0,27156
360,1,0,32.0,3.0,4000.0,16492
361,1,0,32.0,2.0,4000.0,26846
